nome;unidade;
CAMU-CAMU KG;KG;
MIX DE FAVA KG;KG;
GRANOLA COCO E MACA KG;KG;
CHOCOLATE GRANULADO BRANCO KG;KG;
FAVA TORRADA MOSTARDA E MEL KG;KG;
GERGELIM DESCASCADO E TOSTADO KG;KG;
PINHOLES KG;KG;
BANANA CHIPS COM MEL KG;KG;
ARROZ 7 GRAOS KG;KG;
CRATAEGUS KG;KG;
CHOC GOTAS 80% CALLEBAUT KG;KG;
CALLEBAUT CONFEITO RUBI 47.3% KG;KG;
CALLEBAUT FLOCOS KG;KG;
GRANOLA ARTESANAL S/CANELA  KG;KG;
GRAO DE SORGO KG;KG;
PASTILHAS DE CHOCOLATE CONFEITADAS KG;KG;
ARGILA VERMELHA KG;KG;
ARGILA CINZA KG;KG;
ARGILA ROXA KG;KG;
ARGILA ROSA KG;KG;
ARGILA MEDICINAL PRETA KG;KG;
ARGILA MARROM KG;KG;
CANELA DE VELHO KG;KG;
URTIGA RAIZ KG;KG;
PTS GRANULADO CALABRESA KG;KG;
PITAYA DESID VERMELHA/BRANCA KG;KG;
ZEDOARIA PO KG;KG;
PINHAO ROXO KG;KG;
FECULA DE MANDIOCA KG;KG;
SOJA TORRADA ALHO KG;KG;
FOLHA FEIJAO GUANDU KG;KG;
JAPECANGA KG;KG;
PAU PEREIRA KG;KG;
RUI BARBO KG;KG;
L-ARGININA KG;KG;
AGAR AGAR GELATINA ALGAS KG;KG;
CONFEITOS GRANULADOS KG;KG;
L-VALINA MAT PRIMA KG;KG;
TAURINA MAT PRIMA KG;KG;
PALMA CRISTIAM KG;KG;
CONFEITO MICANGA KG;KG;
CHOCO LOOV VEGANO BRANCO LEITE DE COCO KG;KG;
SNACK PROVOLONE DEFUMADO KG;KG;
FOLHAS AROEIRA KG;KG;
SOPA CREME DE VEGETAIS KG;KG;
BALAS ALGAS AGAR AGAR KG;KG;
HAMAMELIS IMPORTADA KG;KG;
